game_title,score,source
Kenka Banchou 4: Ichinen Sensou,9.7,"Brown, Ramos and White"
Warhammer: Shadow of the Horned Rat,8.3,Robbins-Frederick
Warriors: Legends of Troy,9.2,"Riley, Kelley and Boyd"
ESPN International Track & Field,6.2,"Sullivan, King and Snyder"
Lunar Legend,8.0,"Orozco, Lawrence and Maldonado"
Conflict: Global Terror,5.5,"Smith, Jefferson and Hudson"
Valhalla Knights 3,6.8,"Mcdonald, Ward and Gonzalez"
Tamagotchi Party On!,8.4,Hays-Carroll
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,8.6,"Mcmillan, Patel and Bell"
Shaun White Skateboarding,5.6,Davis PLC
The Heavy Rain and Beyond: Two Souls Collection,6.7,"Lawrence, Blanchard and Anderson"
Gungrave,5.1,Santos-Maldonado
Phantasy Star Universe,8.3,"Manning, Burch and Gonzales"
Transworld Surf,7.2,Hernandez-Obrien
God Eater Resurrection,7.5,Moore-Harris
Tenchu: Fatal Shadows,8.4,Sexton-Harris
Active Health with Carol Vorderman,9.0,Rivera Group
Escape The Museum,8.0,Walker-Butler
International Soccer,5.9,Ramsey LLC
Sing4: The Hits Edition,8.2,"Baker, Powers and Campos"
Jewel Master: Cradle of Athena,5.5,Trevino-Roberson
Princess Maker: Yumemiru Yosei,7.6,Adams PLC
Pet Zombies,9.2,"Short, Barrett and Norris"
Big Air,7.9,"Hawkins, Cox and Daniels"
Shining Force II,8.7,"Jackson, Moreno and Nolan"
Gallop Racer,5.2,"Lopez, Palmer and Byrd"
Sudoku Gridmaster (JP sales),5.3,Sutton Ltd
Taiko no Tatsujin: Wii U Version!,8.7,Park Inc
College Slam,6.9,"Gonzalez, Lee and Phillips"
Arcania: Gothic 4,7.0,Bright Inc
Mushroom Men: The Spore Wars,8.9,Wilkins-Conway
Zumba Fitness Rush,6.2,Middleton-Jones
Pro Yaky? Spirits 4,5.6,Harris-Murphy
SoulCalibur Legends,8.9,Saunders-Gallegos
Daigasso! Band Brothers,9.7,Morgan-Sanders
Rise of the Kasai,5.5,"Dixon, Smith and Rogers"
Thoroughbred Breeder,7.0,"May, Chan and Perez"
Momotarou Dentetsu World,5.8,Lopez-Wilson
Nobunaga no Yabou: Souzou,8.3,"Collins, Carter and Lynch"
Doctor Who: Return to Earth,7.9,"Harrington, Ayala and Parker"
The Munchables,6.4,Kelly-Ramirez
We Dance,8.8,Morton PLC
Chibi-Robo! Park Patrol,9.5,Lee-Cunningham
Singstar: Ultimate Party,9.2,"Maxwell, Herman and Armstrong"
Mathews Bowhunting,9.9,Dorsey-Williams
3rd Super Robot Wars Z: Tengoku-Hen,6.0,Garner Inc
One Piece: Unlimited Adventure,9.3,Dickson-Delgado
Remington Super Slam Hunting: North America,6.3,"Andrews, Church and Evans"
Crash & Spyro Superpack,7.1,Scott Group
Face Training,6.2,"Martin, Stephens and French"
Star Trek: Legacy,9.4,Gentry-Hughes
ThunderStrike 2,6.1,"Barnett, Ross and Meyer"
Disney's Meet the Robinsons,6.7,Walker Inc
Kuma-Tomo,5.6,"Bryant, Mason and Williams"
Super Real Mahjong P V,6.2,"Chung, Cain and Chandler"
Thomas the Tank Engine & Friends,9.4,King Group
Penguin no Mondai X: Tenkuu no 7 Senshi,8.8,Williams-Johnson
The Scorpion King: Sword of Osiris,5.9,Nunez-Lopez
Bubsy 3D,9.0,Montgomery Ltd
Reel Fishing Paradise 3D,6.9,"Porter, Bond and Gilbert"
NCAA Final Four 2001,5.8,"Williams, Johnson and Palmer"
Farmtopia,9.7,Fuentes PLC
Robin Hood: Defender of the Crown,7.1,"Roberson, Wilcox and Robinson"
SD Gundam GX,7.0,"Brown, Adams and Knight"
R-Type Final,8.8,Joseph Group
Jackie Chan Adventures: Legend of the Dark Hand,6.6,"Chaney, Cobb and Grant"
Sega GT 2002,9.9,Scott-Hines
Ty the Tasmanian Tiger 3: Night of the Quinkan,9.2,Davis-Jones
Samurai Warriors 2: Empires,6.5,Stephens-Pineda
Jurassic: The Hunted,8.6,"Patel, Hood and Stevens"
J-League Pro Soccer Club o Tsukurou! 5,8.1,Jensen and Sons
Dance Central: Spotlight,8.8,Larson and Sons
Little Battlers eXperience W,9.3,Moore-Williams
Magical Starsign (US sales),5.6,Walker Ltd
Hot Wheels: Battle Force 5,6.6,Pena-Owen
Dragon Blade: Wrath of Fire,8.3,Clements-Robinson
La Pucelle: Tactics,9.6,Lane-Cordova
Phantasy Star Nova,6.7,Clark PLC
Samurai Warriors: State of War,6.0,Nelson Inc
Call of Juarez,8.3,"Bird, Moreno and Diaz"
Star Wars: The Clone Wars & Tetris Worlds,7.2,Armstrong-Wilson
The Bee Game,9.4,Sheppard and Sons
EverQuest Online Adventures: Frontiers,8.7,"Wolf, Bullock and Johnson"
NBA Ballers: Chosen One,6.2,Cox-Le
Treasures of the Deep,7.4,Howe Ltd
Phantasy Star Online Ver. 2,9.0,Phillips-Scott
EyePet & Friends,9.1,"Holt, Terry and Suarez"
Fight Club,8.4,"Bond, Thompson and Jones"
Hello Kitty: Birthday Adventures,8.7,Randall-Mitchell
Syndicate,9.9,"Anderson, Marks and Krause"
Dance Dance Revolution: Disney Grooves,9.7,Gutierrez-Hernandez
Harvest Moon: A Wonderful Life Special Edition,8.4,Thomas Group
Sports Illustrated for Kids: Football,5.4,Mcclure LLC
Happy Cooking,6.9,"Sanchez, Small and Morales"
.hack//Quarantine Part 4: The Final Chapter,7.5,Johnson-Martin
Close Combat: First to Fight,5.2,Smith-Barr
MotoGP 14,7.9,Henderson-Reed
Indiana Jones and the Emperor's Tomb,5.4,Dixon-Donaldson
Buffy the Vampire Slayer: Chaos Bleeds,5.7,Sutton-Nelson
Half-Minute Hero,5.7,Cunningham-Smith
Reel Fishing II,5.9,"Hill, Brandt and Bond"
Ringling Bros. and Barnum & Bailey Circus,9.4,Walsh LLC
Driving Emotion Type-S,5.3,Duncan Ltd
Siren,8.7,"Powell, Sanders and Miller"
Naruto Shippuden: Dragon Blade Chronicles,5.9,White Ltd
Dynasty Warriors 8: Empires,6.7,Bush Inc
Super Robot Taisen J,8.5,"Martinez, Rivas and Howe"
Nep League DS,8.4,Melton LLC
Ar tonelico 2: Melody of Metafalica,8.4,"Anderson, Murphy and Thomas"
Lips: Party Classics,8.6,"Wright, Whitney and Avila"
Casper: Friends Around the World,7.3,Moore-Washington
Jurassic Park III: Island Attack,9.6,Davis and Sons
GameBoy Wars,9.8,"Martin, Campbell and Santos"
Amplitude,7.0,Brown-Olson
Company of Heroes: Anthology,5.7,"Moss, Burns and Barton"
Shape Up,7.2,Taylor LLC
AirForce Delta Storm,6.1,Taylor-Yates
Trauma Team,9.7,Lambert-Cooper
Fear Effect 2: Retro Helix,5.2,Armstrong-Martinez
International Superstar Soccer 2000 (JP weekly sales),7.0,Martinez Group
Chocobo no Fushigi Dungeon for WonderSwan,5.7,"Perez, Williams and Bennett"
Klonoa: Door to Phantomile,6.1,Jimenez Group
Vietcong: Purple Haze,5.0,Madden-Collins
Atari Anniversary Advance,5.7,"Wilson, Rhodes and Cortez"
Summer Athletics: The Ultimate Challenge,7.1,"Jones, Smith and Underwood"
Metal Gear Ac!d 2,8.0,Hall-Ramirez
Hatsune Miku and Future Stars: Project Mirai,9.7,Bell Inc
Let's TAP,7.4,Mejia Group
TalkMan (Japan),8.2,"Graham, Schmitt and Jenkins"
Cabela's Adventure Camp,9.1,Lopez-Howard
Bloody Roar: Primal Fury,10.0,Mcguire Inc
We Sing UK Hits,6.3,Rodriguez-Martin
Mega Man Soccer,8.4,"Glover, Diaz and Sanders"
ZhuZhu Puppies,6.2,Aguilar-Harmon
Rabbids Party Collection,7.7,Boyd-Horton
Trinity Universe,6.7,Oliver Ltd
Jewel Match,5.6,Mcguire-Hughes
Dungeon Travelers 2: The Royal Library & The Monster Seal,9.7,Garcia Group
Vampire Savior: The Lord of Vampire,6.0,"Valentine, Davis and Molina"
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,8.0,"Sullivan, Mcbride and Campbell"
Super Robot Taisen UX,8.0,Roberts-Castillo
Test Drive Off-Road Wide Open,7.8,Wallace and Sons
Guilty Gear Xrd: Sign,5.5,"Ramsey, Rivera and Nelson"
Dengeki Bunko Fighting Climax,5.7,Underwood-Mccall
Battle Commander: Hachibushu Shura no Heihou,8.8,Fuller-Bradford
Backbreaker,8.3,"Randall, Patel and Jones"
Odin Sphere: Leifthrasir,8.3,Stout Inc
Jampack Vol. 1,5.8,"Moore, French and Nunez"
Mega Man X: Command Mission,9.8,Roberts-Lee
Tokyo Xtreme Racer DRIFT,6.4,Davis-Hernandez
Moon,6.9,Keller Inc
Disney Friends,5.9,Rowe-Hicks
Gokujou Parodius,9.9,"Brown, Brown and Parker"
A.C.E.: Another Century's Episode 2,8.8,White-Myers
Ridge Racer Unbounded,6.4,"Murphy, Smith and Hoffman"
Horrid Henry: Missions of Mischief,6.1,"Allen, Padilla and Lane"
Full Auto 2: Battlelines,7.1,Forbes-Jimenez
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,5.2,Carter Inc
The Adventures of Cookie & Cream,6.5,"Miller, Gomez and Romero"
Splatterhouse,8.0,Tran LLC
MindJack,5.7,"Murray, Fisher and Sanders"
Daigasso! Band Brothers P,7.0,"Vazquez, Sanchez and Clark"
World of Outlaws: Sprint Cars,9.2,Haley-Curry
F1 Challenge,5.7,Thornton Group
Shadow Madness,10.0,Martinez-Baker
Aliens: Infestation,5.5,Powell Ltd
The Game of Life / Yahtzee / Payday,6.5,Brooks and Sons
American Chopper 2: Full Throttle,5.3,Frye-Fitzpatrick
Heavy Fire: Afghanistan,8.4,"Mcdonald, Howe and Mitchell"
Commandos 2: Men of Courage,9.8,Warren-Armstrong
Chuck E. Cheese's Party Games,5.8,Mcclure Ltd
Pirates: Hunt For Blackbeard's Booty,9.2,Whitaker Ltd
Godzilla (2015),9.1,Wilson-Benson
Race Pro,9.2,"Foster, Mckay and Harper"
Atari Anniversary Edition Redux,5.5,"Sims, Lawrence and Mcguire"
Fireblade,6.3,Weber-Reynolds
Mercury Meltdown Revolution,5.9,"Blake, Garcia and Williams"
WordJong Party,9.7,Daniels and Sons
Brunswick Circuit Pro Bowling,6.2,Hodge-Patterson
Velvet Assassin,6.6,Huang-Chambers
Ball Breakers,8.4,Stone-Cortez
Mobile Suit Gundam Seed Destiny: Generation of C.E.,8.8,"Barton, Taylor and Manning"
EyeToy: Groove,9.4,Brown PLC
Twisted Metal: Small Brawl,5.1,"Wolf, Moore and Roberts"
Armored Core: Last Raven,9.0,Mendoza-Lawrence
All Grown Up! Express Yourself,5.0,"Ross, Humphrey and Atkinson"
K-1 World Grand Prix,7.3,"Mitchell, Collins and Freeman"
Kidou Senshi Gundam: Senjou no Kizuna Portable,5.1,Brown-Lee
Otomedius Excellent,7.6,Cooper-Mcguire
Super Robot Taisen A Portable,6.4,"Davis, Ball and Gilbert"
Virtua Tennis,5.7,Wells LLC
Tales of the Tempest,9.5,Thornton-Watson
SimCity Creator (JP sales),6.1,"Davis, Scott and Cain"
Biohazard: Revival Selection,9.0,Compton and Sons
UFC: Sudden Impact,9.2,"Horton, Diaz and Hernandez"
Shawn Johnson Gymnastics,6.8,"Hardin, Weaver and Moreno"
NBA Hoopz,8.8,"Peters, Haynes and Walker"
Nancy Drew: The Hidden Staircase,9.3,Rivera Group
Brunswick Cosmic Bowling,7.8,"Williams, Guzman and Brown"
Speedball 2100,6.8,Stephens and Sons
LEGO Island 2: The Brickster's Revenge,6.8,Larson-Morgan
Fancy Nancy: Tea Party Time!,6.0,Davis PLC
Backyard Basketball,8.9,Brown-Carlson
Summon Night 4,6.2,"Gray, Maynard and Raymond"
Pro Yaky? Spirits 5,7.5,Shelton and Sons
My French Coach,7.4,"Jensen, Holt and Vaughn"
Camp Rock: The Final Jam,5.2,Walker-Johnson
NBA Starting Five,7.9,Carpenter Inc
Castlevania Judgment,5.5,Watson-Harris
Dead or Alive Paradise,9.0,Hernandez PLC
The Suffering: Ties That Bind,6.2,Jackson-Davis
EyeToy: Kinetic,9.8,Lamb Inc
Petz: Horseshoe Ranch,8.3,Carroll-Coleman
Stormrise,7.3,Hernandez PLC
Yu-Gi-Oh! Zexal World Duel Carnival,5.3,Frank Ltd
Green Lantern: Rise of the Manhunters,9.3,Hester Inc
Monkey Island: Special Edition Collection,5.0,Harrington PLC
Broken Sword: Shadows of the Templars - The Director's Cut,6.9,George-Jackson
The Wild Thornberrys: Animal Adventures,8.8,Smith-King
MotoGP 10/11,7.3,Kirby Inc
Jikkyou Powerful Pro Baseball 2016,7.2,Kelly Inc
SEGA Bass Fishing Duel,9.9,Winters-Combs
Hyperdimension Neptunia U: Action Unleashed,9.7,Perkins-Harris
Sports Illustrated for Kids: Baseball,6.5,"Barnes, Thomas and Mclean"
Fairytale Fights,7.4,"Harris, Perez and Jordan"
Mark Davis Pro Bass Challenge,9.1,Valencia LLC
Warriors of Might and Magic,8.2,"Jones, Garcia and Boyd"
Open Season,7.9,Thomas-Peterson
Back to the Future: The Game,7.2,"Day, Cunningham and Chambers"
Project Spark,8.9,Moyer-Jennings
Backyard Sports Football: Rookie Rush,7.6,Nelson Group
Street Fighter: The Movie,9.3,Jordan Ltd
Lost in Blue 3,5.3,Pittman-Williams
Global Defence Force,8.6,Andrews-Gilmore
Rapala Fishing Frenzy 2009,9.2,"Sanchez, Wise and Hart"
SaGa 2: Hihou Densetsu - Goddess of Destiny,8.5,Andrews-Murray
Smash Court Tennis Pro Tournament,8.1,"Mejia, Fletcher and Gray"
The Cursed Crusade,8.9,Richmond and Sons
Super Robot Taisen L,5.1,"Allison, Larson and Scott"
The Grim Adventures of Billy & Mandy,6.3,Craig-Clark
NBA Inside Drive 2004,9.2,"Bell, Harmon and Arias"
The King of Fighters '97,5.4,Parsons and Sons
Cabela's Big Game Hunter: Hunting Party,6.9,"Clark, Wong and Oliver"
Time Commando,7.4,"Davis, Hernandez and Duffy"
Professional Fisherman's Tour: Northern Hemisphere,8.2,Jones and Sons
Kekkaishi: Karasumori Ayakashi Kidan,9.4,"Haley, Nichols and Wilson"
Gretzky NHL 2005,7.6,Castillo-Henderson
NCAA Football 09 All-Play,7.7,"Schmidt, Wilson and Hall"
The Secret World,8.7,"Jones, Dillon and Wells"
NHL 2K9,5.2,Duran-Vargas
PlayStation Move Heroes,8.7,Garrison-Watkins
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,8.3,"Brown, Clark and Johnson"
ESPN Final Round Golf 2002,9.7,Rivera Group
MDK2 Armageddon,5.3,Nicholson and Sons
Exhibition Volume 02,9.5,Sims-Robinson
Watchmen: The End is Nigh - The Complete Experience,7.1,Torres-Brown
Sudoku Gridmaster,7.6,"Dixon, Bradley and Galloway"
Disney's Atlantis: The Lost Empire,7.4,"Riddle, Cooper and Roberts"
Power Pro Kun Pocket,9.0,Harrison and Sons
Tamagotchi no Narikiri Challenge,9.3,Wheeler-Larson
Space Battleship Yamato: Harukanaru Hoshi Iscandar,8.4,Salinas LLC
Sound Novel Evolution 1: Otogirisou Sosei-Hen,7.2,Griffin Group
Dementium: The Ward,5.6,Spencer-Jacobs
MX World Tour Featuring Jamie Little,7.2,Richardson Group
Goblin Commander: Unleash the Horde,9.1,Peterson and Sons
Hello Kitty: Happy Party Pals,5.0,Watkins-Lopez
Ringling Bros. and Barnum & Bailey: Circus Friends,8.3,Patterson Ltd
World Destruction League: Thunder Tanks,6.1,Cisneros-Goodman
Shin Megami Tensei IV: Final,7.2,Ramos LLC
Age of Empires III: Complete Collection,6.6,Stein-Liu
Finding Nemo: Escape to the Big Blue,8.8,"Sanford, White and Roberts"
Backyard Baseball '10,5.7,"Morton, Anderson and Ewing"
Resident Evil Director's Cut: Dual Shock Edition,7.4,Joseph Inc
Top Spin 2,6.8,Curry-Wagner
N3 II: Ninety-Nine Nights,9.2,Lee and Sons
RoadKill,8.4,Cunningham Group
Hanjuku Eiyuu Tai 3D,5.7,"Garcia, Anderson and Price"
.hack//G.U. Vol.3//Redemption,7.9,Maldonado and Sons
Super Robot Taisen Compact 2 Dai-1-Bu,6.1,Patterson Group
Tak: The Great Juju Challenge,7.8,Nelson-Frank
Macross Ultimate Frontier,9.2,Robinson Inc
Jillian Michaels Fitness Ultimatum 2011,6.3,Richards Ltd
Pursuit Force: Extreme Justice,8.3,Moreno-Edwards
Hunter: The Reckoning Redeemer,7.9,Johnson-Mills
Tokyo Xtreme Racer,7.4,Miles-Lopez
Fighter Maker,6.8,"Phillips, Stark and Lee"
Backyard NFL Football '10,7.8,Rodriguez-Green
Professor Heinz Wolff's Gravity,7.2,"Daniels, Guzman and Velasquez"
Thief: Deadly Shadows,9.3,Russell-Park
Buzz! Brain of the UK,5.4,"Gomez, Fuentes and Russell"
NBA 09: The Inside,9.5,Newton-Chavez
Transformers: Prime,8.7,Hoover PLC
Dragon Ball GT: Game Boy Advance Video Volume 1,5.7,Fletcher Group
Luxor 3,9.3,Nolan-Clark
Bratz Kidz,6.5,Ross LLC
James Cameron's Dark Angel,6.5,"Carter, Wilson and Hurley"
Mahjong Fight Club,9.5,Hutchinson Group
World Driver Championship,6.8,Adams Inc
Bomberman 64: The Second Attack!,8.9,Clark-Chambers
Turok 3: Shadow of Oblivion,6.0,Harding-Bell
Codename: Kids Next Door: Game Boy Advance Video Volume 1,8.9,Owen LLC
Zoo Hospital,8.3,Boyer Group
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,9.5,Carr-King
Time and Eternity,7.2,Pacheco PLC
Gundam Assault Survive,7.7,Kim-Jones
Fate/Stay Night [Réalta Nua],8.0,Brown Ltd
Disney's Home on the Range,5.5,"Tucker, Smith and Schmidt"
Sid Meier's Civilization IV,6.8,"Smith, Wilson and Lee"
Space Griffon VF-9,9.1,"Vazquez, Durham and Bush"
Family Feud Decades,9.5,"Smith, Dawson and Lopez"
NBA Live 16,8.3,"Mcguire, Floyd and Andrews"
Solitaire Overload Plus,6.0,Acosta-Moyer
.hack//G.U. Vol.1//Rebirth,9.7,"Santos, Armstrong and Bailey"
Gyakuten Saiban 3,8.8,Hamilton-Evans
Tak: Mojo Mistake,8.4,Bartlett PLC
Gallop Racer 2001,6.6,"Mitchell, Bell and Brown"
Nightmare Creatures II,8.3,"Rivera, Velasquez and Barron"
Marble Saga: Kororinpa,6.1,Jacobs-Henderson
Fuzion Frenzy 2,9.7,Wells-Gillespie
Catwoman,9.5,Ramos PLC
Country Dance: All Stars,9.9,"Jones, Ramos and Kim"
Garfield: Lasagna World Tour,6.8,"Estrada, Wang and Sanders"
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,9.5,"Rollins, Anderson and Hill"
Bomberman Land,9.0,"Copeland, Holder and Allison"
Bomberman B-Daman,9.0,Evans-Horn
Terminator 3: The Redemption,9.3,"Campos, Kelley and Herrera"
Beat Down: Fists of Vengeance,8.0,King and Sons
Reloaded,7.2,Ramirez-Walker
Sword of the Samurai,7.3,"Fox, Strickland and Robinson"
MotoGP 15,6.7,"Heath, Webb and Smith"
Naruto Shippuden: Ultimate Ninja 5,7.7,"Wu, Hancock and Barrett"
Shrek Extra Large,6.9,Miller Inc
World Tour Soccer 2006,5.7,Sims-Campbell
Gunvalkyrie,8.6,Roberts Inc
VR Golf '97,7.9,Johnson-Johnson
Michael Jackson: The Experience 3D,9.9,"Johnson, Campbell and Williams"
Digimon Story: Cyber Sleuth,5.3,King Inc
Off-World Interceptor Extreme,7.5,Duke Ltd
Disney Golf,9.3,"Gonzalez, Williams and Smith"
Custom Robo Arena,7.1,"Ruiz, Chen and Wheeler"
Clock Tower II: The Struggle Within,5.4,Hayes-Webb
Batman Beyond: Return of the Joker,5.0,Meyer Group
Mega Man Network Transmission,6.3,Craig and Sons
I'm A Celebrity: Get Me Out of Here!,7.5,Hodge Ltd
Pursuit Force,9.6,Werner-Hill
Densetsu no Stafi 4,7.1,Johnson-Short
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),8.3,Lee-Frank
Naval Assault: The Killing Tide,5.5,Johnson-Phillips
Tokimeki Memorial: Private Collection,8.7,"Garcia, West and Harper"
RC Revenge Pro,8.3,King LLC
Hellboy: The Science of Evil,9.8,Moore Inc
Zoo Keeper,8.2,"Flowers, Ferguson and Ortiz"
Far East of Eden II: Manji Maru,5.6,Castillo Ltd
Lost Kingdoms,5.9,"Gonzalez, Wheeler and Garcia"
WRC 2: FIA World Rally Championship,5.1,"Griffin, Cabrera and Shah"
Blood Bowl,8.3,"James, Parker and Reed"
Matchbox Cross Town Heroes,9.7,"Peterson, Thomas and Perez"
Wolfenstein 3D,9.8,Smith-Pitts
Nobunaga no Yabou: Tenshoki,8.9,Smith Ltd
Learning to Spell,8.2,Jones and Sons
"Go, Diego, Go! Safari Rescue",6.6,Jackson-Brooks
Super Power League,6.7,Jones LLC
Easy Piano,9.3,"Zimmerman, Fuller and Moore"
Sumikko Gurashi: Koko ga Ochitsukundesu,8.3,"Watkins, Davis and Chung"
NASCAR '15,5.5,White-Robinson
TransFormers Animated: The Game,8.8,"Ayers, Preston and White"
Sega Superstars,9.7,"Davis, Guerrero and Hall"
Mousetrap / Operation / Simon,5.0,Townsend-Cooper
Klonoa,6.0,Thornton Ltd
Spyro: Shadow Legacy,6.9,"Thompson, Roberson and Simpson"
Wildstar,5.9,Hoffman-Morris
Dragon Ball: Fusions,7.9,"Wright, Price and Johnston"
TOEIC Test Training DS,8.5,Thornton PLC
Jikkyou Powerful Pro Yakyuu 2014,6.0,Greer-Perry
Itoi Shigesato no Bass Tsuri No. 1,6.4,"Hernandez, Fitzgerald and Coleman"
Cubivore: Survival of the Fittest,8.6,Rubio-Myers
The Sims 3: Seasons,5.6,Castro-White
Project X Zone 2: Brave New World,10.0,"Fleming, Murphy and Stone"
Mr. Do!'s Castle,6.0,Jenkins-Norman
Death Trap,9.4,"Lopez, Aguilar and Rollins"
Armor Ambush,10.0,"Logan, Weber and Rivera"
Hyperdimension Neptunia Victory,6.9,Carlson LLC
Taz Wanted,7.4,"Peters, Morgan and Johnson"
Mobile Suit Gundam: Extreme VS Force,6.5,Davis PLC
Phantasy Star Online 2,6.7,"Lopez, Webb and Peterson"
Vehicular Combat League presents Motor Mayhem,5.7,Morrison Inc
PoPoLoCrois: Hajimari no Bouken,5.2,Brown-Hernandez
Star Wars: Super Bombad Racing,8.9,Atkinson Ltd
Hamster Heroes,7.6,Fernandez-Fleming
Ar Nosurge: Ode to an Unborn Star,9.9,"Holmes, Molina and Johns"
Leisure Suit Larry: Box Office Bust,6.7,"Thompson, Cobb and Rodriguez"
Alien Resurrection,8.5,Alvarez PLC
World Tour Soccer 2005,8.4,"Barnes, Hickman and Torres"
Dungeon Siege: Throne of Agony,5.7,"Kaiser, Mills and Green"
Spider-Man: Web of Shadows - Amazing Allies Edition,5.0,Shah Group
Gunslingers,9.1,Berg and Sons
Lufia: Curse of the Sinistrals,6.7,"Taylor, Andrade and Jackson"
ESPN College Hoops,8.2,Davis LLC
Thor: God of Thunder,9.7,Wright-Hudson
F1 Championship Season 2000,7.7,Chavez PLC
Guilty Gear Judgment,8.2,"Aguilar, Johnson and Hunt"
Pen 1 Grand Prix: Penguin no Mondai Special,9.0,"Davis, Leblanc and Carter"
Around the World in 80 Days,7.2,Abbott-Mendez
True Swing Golf,5.2,Stephens-Russell
Zapper: One Wicked Cricket!,9.3,Snyder-Rivera
Kya: Dark Lineage,6.7,"Payne, King and Ray"
Curious George,7.7,"Cooper, Chambers and Obrien"
Medieval Games,9.1,"Smith, Wilson and Williams"
Stronghold 3,7.9,Bush PLC
Kid Adventures: Sky Captain,5.3,Walsh-Johnson
Lethal Skies II,5.7,Perry-Garcia
Doctor Lautrec and the Forgotten Knights,5.2,Johnson-Schwartz
Disney's American Dragon Jake Long: Attack of the Dark Dragon,8.4,"Hammond, Evans and Montgomery"
Godzilla Unleashed,7.5,"Conley, Cook and Robinson"
Kamaitachi no Yoru × 3,6.5,"Mcknight, Mccoy and Carrillo"
Tom and Jerry: Infurnal Escape,7.6,Wright-Walker
The Legend of Heroes VII: The Trail of Zero,9.7,Calderon-Patton
King's Field,7.3,Hernandez-Peck
Hannah Montana: Rock Out the Show,9.3,Smith-Skinner
Let's Ride: Sunshine Stables,8.3,"Good, Miller and Vasquez"
World Stadium 4,8.1,Mcmillan-King
San Goku Shi Taisen DS,9.5,"Rodriguez, Juarez and Bell"
Kawa no Nushi Tsuri,9.6,"Barnes, Jones and Barnes"
N2O: Nitrous Oxide,7.0,Smith-Duran
Magic: The Gathering - Battlegrounds,9.3,Small-Johnson
Heroes over Europe,6.6,"Clarke, Mckinney and Byrd"
Bladestorm: Nightmare,6.6,Torres and Sons
Otogirisou,8.6,"Tate, Sims and Parker"
SD Gundam G Generation 3D,7.2,"Garza, Beasley and Bell"
Grease Dance,7.5,Sherman-Salas
Ready 2 Rumble Revolution,7.3,Klein PLC
My Baby 3 & Friends,9.4,"Davidson, Harris and Kelly"
NASCAR '14,7.4,Welch-Washington
Midway Arcade Treasures 3,6.8,Beck Ltd
Dr. Muto,8.6,"Thomas, Stewart and Gonzalez"
Puzzle Quest: Galactrix,7.3,James and Sons
DS Rakubiki Jiten,8.7,"Duke, Thompson and Davis"
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,6.5,Daugherty-Leonard
Fatal Frame II: Crimson Butterfly,7.7,"Torres, Hayes and Rosario"
Dewy's Adventure,5.5,"Holden, Garcia and Ellis"
Shadow Man: 2econd Coming,5.4,Richards-Rodriguez
Yu-Gi-Oh! 5D's Tag Force 6,8.1,Young-Ross
Wakeboarding Unleashed Featuring Shaun Murray,7.8,Rogers PLC
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,7.5,"Stone, Cruz and Thompson"
Alone in the Dark: The New Nightmare,7.5,Santiago-Horne
Flushed Away,5.1,Cooper-Martin
Eragon,8.1,Clements Inc
Scarface: Money. Power. Respect.,7.8,Jefferson-Houston
Summon Night EX-Thesis: Yoake no Tsubasa,6.1,Moore Inc
Pro Yaky? Spirits 3,5.3,"Hardy, Luna and Johnson"
Silent Scope 3,8.4,"Boyle, Sandoval and Coleman"
World Series of Poker: Tournament of Champions 2007 Edition,6.5,Waller PLC
Namco Classic Fighter Collection,9.6,Johnson Ltd
International Superstar Soccer Deluxe,5.5,"Watkins, Mitchell and Robinson"
Intellivision Lives!,9.2,Wyatt Group
Field Commander,5.3,Brooks Ltd
Little League World Series Baseball 2009,5.6,"Brown, Duran and Maxwell"
The King of Fighters XII,7.5,"Ortiz, Gonzalez and Jones"
Doctor Who: Evacuation Earth,6.2,"Garcia, May and Fernandez"
Ener-G: Dance Squad,6.4,Watkins Ltd
Our House,8.5,"Gonzalez, Keith and Charles"
SimEarth: The Living Planet,7.1,Davis-Aguirre
Sengoku Basara: Chronicle Heroes,5.5,Scott-Washington
The Wild Thornberrys: Chimp Chase,8.9,Harrison-Garcia
Power Stakes,6.2,Nelson and Sons
Fighters Destiny,9.5,White LLC
Asteroids Hyper 64,8.4,Mitchell-Pope
Jikkyou Powerful Pro Yakyuu Basic-han 2001,7.3,Zavala LLC
Tom and Jerry in Fists of Furry,6.4,Hester LLC
Starcraft 64,7.3,Myers Inc
Destruction Derby 64,5.5,Coleman-Ray
Buck Bumble,5.2,Griffin-Hansen
California Speed,8.0,Martin Inc
Wonder Project J2: Koruro no Mori no Josette,7.0,Chapman Inc
Culdcept SAGA,8.4,"Roberts, Shannon and Williams"
Take A Break's: Puzzle Master,9.2,"Rollins, Monroe and Thomas"
Dragon Ball: Origins 2,5.9,Rose Group
